nutsid,region,code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
UKJ4,Kent,AEO3,"17,558","18,426","19,024","19,549","20,715","22,472","23,573","24,565","26,695","27,340","28,553","30,071","29,046","30,718","31,426","32,549","33,517"
UKJ41,Medway,C33X,"2,323","2,495","2,614","2,779","2,920","3,177","3,249","3,290","3,596","3,824","3,682","3,762","3,645","3,890","3,800","4,209","4,282"
UKJ42,Kent CC,C33Y,"15,235","15,932","16,410","16,769","17,795","19,295","20,324","21,275","23,099","23,516","24,872","26,309","25,401","26,828","27,627","28,339","29,235"
UKK,South West,TMQE,"59,201","61,487","64,005","67,313","71,872","75,480","81,356","85,836","90,071","94,195","100,476","102,596","102,483","107,352","107,695","110,267","113,806"
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",AEO4,"30,852","32,563","33,337","34,932","37,594","39,540","42,782","44,770","46,689","47,924","52,099","53,192","53,091","56,390","56,478","57,734","59,509"
UKK11,"Bristol, City of",C33Z,"7,409","7,679","7,837","7,780","8,328","8,785","9,181","9,521","10,078","10,466","11,238","11,628","11,592","12,498","12,228","12,470","12,627"
UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",C342,"7,245","7,901","8,060","8,485","9,532","10,136","11,431","12,023","12,797","12,903","13,719","14,255","14,365","15,319","15,838","15,861","16,682"
UKK13,Gloucestershire,C343,"7,242","7,555","7,928","8,721","8,997","9,483","10,743","11,254","11,009","11,254","12,435","12,125","11,998","12,914","12,970","13,670","14,093"
UKK14,Swindon,C344,"3,754","4,071","4,107","4,164","4,567","4,523","4,614","4,824","5,242","5,363","5,917","5,936","6,118","6,078","6,223","6,215","6,623"
UKK15,Wiltshire CC,C345,"5,202","5,357","5,404","5,782","6,170","6,613","6,812","7,148","7,563","7,939","8,790","9,249","9,016","9,581","9,218","9,518","9,483"
UKK2,Dorset and Somerset,AEO5,"13,100","13,341","14,338","15,473","15,696","15,934","17,160","18,142","19,657","20,779","21,909","22,332","22,630","23,001","23,636","24,371","25,276"
UKK21,Bournemouth and Poole,C346,"3,749","3,889","4,052","4,461","4,600","4,582","5,074","5,096","5,672","5,978","6,409","6,435","6,726","6,767","6,983","7,521","7,762"
UKK22,Dorset CC,C347,"4,059","4,190","4,640","5,021","5,043","5,092","5,333","5,660","6,056","6,349","6,721","7,040","7,080","7,186","7,321","7,400","7,623"
UKK23,Somerset,C348,"5,292","5,262","5,646","5,991","6,054","6,259","6,754","7,386","7,929","8,451","8,778","8,857","8,824","9,048","9,332","9,450","9,891"
UKK3,Cornwall and Isles of Scilly,AEO6,"4,060","4,208","4,288","4,502","4,973","5,675","6,153","6,332","6,584","7,181","7,455","7,778","7,677","7,826","7,647","8,124","8,373"
UKK30,Cornwall and Isles of Scilly,C349,"4,060","4,208","4,288","4,502","4,973","5,675","6,153","6,332","6,584","7,181","7,455","7,778","7,677","7,826","7,647","8,124","8,373"
UKK4,Devon,AEO7,"11,189","11,375","12,042","12,406","13,609","14,332","15,261","16,591","17,140","18,311","19,014","19,294","19,086","20,135","19,933","20,038","20,649"
UKK41,Plymouth,C34A,"2,862","2,944","3,050","3,116","3,408","3,450","3,651","3,880","4,094","4,258","4,530","4,472","4,229","4,552","4,813","4,963","5,169"
UKK42,Torbay,C34B,"1,316","1,280","1,313","1,354","1,424","1,351","1,496","1,693","1,704","1,827","1,845","1,825","1,689","1,766","1,821","1,867","1,879"
UKK43,Devon CC,C34C,"7,011","7,151","7,680","7,936","8,777","9,532","10,114","11,018","11,342","12,227","12,639","12,998","13,168","13,817","13,300","13,208","13,601"
UKL,Wales,TMQG,"28,324","29,177","30,171","31,929","32,547","34,536","37,288","40,023","42,241","44,803","46,814","46,533","46,520","47,538","49,665","50,233","52,070"
UKL1,West Wales and The Valleys,AEO8,"15,544","15,862","16,309","17,203","17,381","18,780","19,971","21,449","22,976","24,282","25,210","25,348","25,507","26,498","27,249","27,488","28,678"
UKL11,Isle of Anglesey,C34D,435,422,462,494,553,561,613,675,714,733,764,778,780,748,802,808,797
UKL12,Gwynedd,C34E,"1,114","1,099","1,108","1,133","1,193","1,376","1,528","1,561","1,671","1,800","1,847","1,891","1,846","1,793","1,920","2,041","2,181"
UKL13,Conwy and Denbighshire,C34F,"1,688","1,667","1,758","1,881","1,866","2,030","2,197","2,414","2,544","2,592","2,747","2,815","2,783","2,814","2,923","3,030","3,128"
UKL14,South West Wales,C34G,"2,874","2,854","3,025","3,183","3,251","3,266","3,608","3,916","4,388","4,622","4,873","4,632","4,774","4,948","5,121","5,011","5,265"
UKL15,Central Valleys,C34H,"2,272","2,383","2,368","2,507","2,582","2,988","3,057","3,260","3,293","3,471","3,590","3,635","3,758","4,045","3,960","4,040","4,218"
UKL16,Gwent Valleys,C34I,"2,481","2,636","2,804","2,813","2,774","2,914","2,985","3,270","3,415","3,760","3,757","3,802","3,838","4,122","4,221","4,306","4,525"
UKL17,Bridgend and Neath Port Talbot,C34J,"2,452","2,544","2,468","2,591","2,522","2,784","2,931","3,059","3,427","3,632","3,951","4,090","3,925","4,192","4,337","4,294","4,372"
UKL18,Swansea,C34K,"2,228","2,257","2,317","2,601","2,641","2,861","3,052","3,295","3,525","3,671","3,681","3,705","3,804","3,835","3,966","3,957","4,193"
UKL2,East Wales,AEO9,"12,780","13,315","13,862","14,726","15,166","15,755","17,317","18,575","19,265","20,521","21,604","21,185","21,013","21,040","22,416","22,745","23,392"
UKL21,Monmouthshire and Newport,C34L,"2,832","3,012","3,178","3,227","3,340","3,290","3,800","4,205","4,394","4,768","4,595","4,645","4,607","4,538","4,747","4,692","4,790"
